ID,Start time,Completion time,Email,Name,Last modified time,On avgerage how many hours of sleep do you get per night?,"How satisfied are you with your academic performance this year? (1 being the worst, 5 being the best)",How many hours per week do you study?
1,12/10/25 10:29:28,12/10/25 10:29:42,anonymous,,,4-6,3,6-8
2,12/10/25 10:29:52,12/10/25 10:30:04,anonymous,,,6-8,3,More than 8
3,12/10/25 10:31:06,12/10/25 10:31:18,anonymous,,,4-6,3,4-6
4,12/10/25 10:32:04,12/10/25 10:32:10,anonymous,,,4-6,3,More than 8
5,12/10/25 10:32:28,12/10/25 10:32:42,anonymous,,,6-8,5,4-6
6,12/10/25 10:32:35,12/10/25 10:32:49,anonymous,,,4-6,3,6-8
7,12/10/25 10:33:33,12/10/25 10:33:50,anonymous,,,6-8,3,4-6
8,12/10/25 10:33:56,12/10/25 10:34:08,anonymous,,,6-8,4,Less than 4
9,12/10/25 10:34:05,12/10/25 10:34:25,anonymous,,,More than 8,4,More than 8
10,12/10/25 10:34:01,12/10/25 10:34:28,anonymous,,,4-6,3,Less than 4
11,12/10/25 10:34:07,12/10/25 10:34:28,anonymous,,,4-6,4,Less than 4
12,12/10/25 10:34:14,12/10/25 10:34:29,anonymous,,,More than 8,5,Less than 4
13,12/10/25 10:34:25,12/10/25 10:34:46,anonymous,,,6-8,4,Less than 4
14,12/10/25 10:34:45,12/10/25 10:35:10,anonymous,,,6-8,4,Less than 4
15,12/10/25 10:35:42,12/10/25 10:36:07,anonymous,,,Less than 4,3,Less than 4
16,12/10/25 10:30:45,12/10/25 10:36:44,anonymous,,,6-8,5,More than 8
17,12/10/25 10:40:34,12/10/25 10:40:42,anonymous,,,6-8,5,Less than 4
18,12/10/25 10:40:29,12/10/25 10:40:49,anonymous,,,More than 8,4,Less than 4
19,12/10/25 10:40:35,12/10/25 10:40:58,anonymous,,,4-6,2,4-6
20,12/10/25 10:40:39,12/10/25 10:41:02,anonymous,,,More than 8,5,6-8
